Name (optional), Latitude, Longitude
Rye Mill Lane Bridge, 51.846203758964805, 0.7119320262458428
Playing Fields, 51.84608880442717, 0.7125462521045894
Playing Fields, 51.845499571698674, 0.7137892691108222
Footpath 13, 51.8431220839164, 0.7117115794574176
Community Cente Car Park, 51.847929997638566, 0.7158047097166775,
Village Green, 51.849220732839285, 0.7163357871009838
The Street, 51.85078071696915, 0.7182999287602382
Coggeshall Road, 51.85000128188123, 0.7157207785355872
Feering Hill, 51.84139148285228, 0.7090855718008339
Worlds End Lane, 51.83885829979061, 0.7103568925523467
